,Name,B,F,G,Var,HD,HIP,RA,Dec,vis_mag,Dist.,Sp.class,Notes
56,π Aql,π,52,,,187259,97473,19h 48m 42.05s,+11° 48′ 57.3″,5.75,570,F2V:+...,component of the π Aql system
57,,,,,,182900,95572,19h 26m 24.13s,+13° 01′ 25.2″,5.76,182,F6III,
58,56 Aql,,56,92,,188154,97928,19h 54m 08.27s,−08° 34′ 27.0″,5.76,394,K5III,double star
59,35 Aql,c,35,51,V1431,183324,95793,19h 29m 00.99s,+01° 57′ 01.9″,5.79,192,A0V,"V1431 Aql; rapidly oscillating α2 CVn variable, ΔV = 0.04m"
60,42 G. Aql,,,42,,181907,95222,19h 22m 21.51s,−00° 15′ 08.2″,5.81,363,G8III:,
61,13 G. Aql,,,13,,177178,93580,19h 03m 32.24s,+01° 49′ 08.2″,5.82,180,A4V,
62,49 G. Aql,,,49,,183227,95732,19h 28m 20.80s,+02° 55′ 48.2″,5.84,1025,B6III,
63,100 G. Aql,,,100,,189340,98416,19h 59m 47.49s,−09° 57′ 26.2″,5.87,80,F8V,
64,5 Aql,,5,3,,173654,92117,18h 46m 28.58s,−00° 57′ 41.9″,5.89,258,A2m,binary star
65,υ Aql,υ,49,78,,186689,97229,19h 45m 39.92s,+07° 36′ 47.4″,5.89,176,A3IV,
66,103 G. Aql,,,103,,189695,98526,20h 00m 58.97s,+08° 33′ 28.0″,5.90,898,K5III,
67,10 Aql,,10,,V1286,176232,93179,18h 58m 46.92s,+13° 54′ 24.4″,5.91,242,A4p(Eu-Cr-Sr),"V1286 Aql; α2 CVn variable, Vmax = 5.83m, Vmin = 5.93m, P = 6.05 d"
68,64 Aql,,64,113,,191067,99171,20h 08m 01.75s,−00° 40′ 40.9″,5.97,156,K1IV,
69,HD 185018,,,,,185018,96481,19h 36m 52.45s,+11° 16′ 23.5″,5.98,1140,G0Ib,multiple star
70,QS Aql,,,,QS,185936,96840,19h 41m 05.53s,+13° 48′ 56.5″,5.98,1646,B5V,"double star; Algol variable, Vmax = 5.93m, Vmin = 6.06m, P = 2.51329 d"
71,80 G. Aql,,,80,,187195,97499,19h 49m 02.19s,−10° 52′ 14.6″,6.00,285,K5III,
72,ω2 Aql,ω2,29,,,181383,95002,19h 19m 53.04s,+11° 32′ 05.7″,6.03,278,A2V,
73,131 G. Aql,,,131,,193329,100232,20h 19m 43.24s,−01° 04′ 42.9″,6.05,405,K0,
74,8 Aql,,8,5,V1729,174589,92524,18h 51m 22.16s,−03° 19′ 04.1″,6.08,276,F2III,V1729 Aql; Delta Scuti variable
75,HD 183589,,,53,,183589,95898,19h 30m 10.53s,+02° 54′ 14.7″,6.08,1663,K5Ib,multiple star; suspected variable
